status,class,esu_dps,x_min,y_min,x_max,y_max,species,subdomain,sourcethm,altspname,species2,species3,domain,area,v_count_evergreen_forest,v_count_open_water,v_count_shrubland,v_count_developed_open_space,v_count_woody_wetlands,v_count_grass_pasture,v_count_developed_low_intensity,v_count_mixed_forest,v_count_deciduous_forest,v_count_herbaceous_wetlands,v_count_developed_med_intensity,v_count_barren,v_count_developed_high_intensity,v_count_background,v_count_blueberries,v_count_corn,v_count_christmas_trees,v_count_other_hay_non_alfalfa,v_pct_evergreen_forest,v_pct_open_water,v_pct_shrubland,v_pct_developed_open_space,v_pct_woody_wetlands,v_pct_grass_pasture,v_pct_developed_low_intensity,v_pct_mixed_forest,v_pct_deciduous_forest,v_pct_herbaceous_wetlands,v_pct_developed_med_intensity,v_pct_barren,v_pct_developed_high_intensity,v_pct_background,v_pct_blueberries,v_pct_corn,v_pct_christmas_trees,v_pct_other_hay_non_alfalfa,v_count_perennial_ice_snow,v_count_alfalfa,v_count_x228,v_count_cherries,v_count_fallow_idle_cropland,v_count_barley,v_count_oats,v_count_spring_wheat,v_count_potatoes,v_pct_perennial_ice_snow,v_pct_alfalfa,v_pct_x228,v_pct_cherries,v_pct_fallow_idle_cropland,v_pct_barley,v_pct_oats,v_pct_spring_wheat,v_pct_potatoes,v_count_sod_grass_seed,v_count_pumpkins,v_count_apples,v_count_caneberries,v_count_peas,v_count_greens,v_count_rye,v_count_clover_wildflowers,v_count_misc_vegs_fruits,v_count_dry_beans,v_count_other_crops,v_count_sweet_corn,v_count_cranberries,v_count_other_tree_crops,v_count_winter_wheat,v_count_strawberries,v_count_grapes,v_count_pears,v_count_broccoli,v_count_cabbage,v_count_herbs,v_count_carrots,v_count_walnuts,v_pct_sod_grass_seed,v_pct_pumpkins,v_pct_apples,v_pct_caneberries,v_pct_peas,v_pct_greens,v_pct_rye,v_pct_clover_wildflowers,v_pct_misc_vegs_fruits,v_pct_dry_beans,v_pct_other_crops,v_pct_sweet_corn,v_pct_cranberries,v_pct_other_tree_crops,v_pct_winter_wheat,v_pct_strawberries,v_pct_grapes,v_pct_pears,v_pct_broccoli,v_pct_cabbage,v_pct_herbs,v_pct_carrots,v_pct_walnuts,v_count_triticale,v_count_sunflower,v_count_mint,v_count_onions,v_count_garlic,v_count_canola,v_count_mustard,v_count_plums,v_pct_triticale,v_pct_sunflower,v_pct_mint,v_pct_onions,v_pct_garlic,v_pct_canola,v_pct_mustard,v_pct_plums,v_count_almonds,v_count_olives,v_count_rice,v_count_pistachios,v_count_tomatoes,v_count_honeydew_melons,v_count_pecans,v_count_sorghum,v_count_dbl_crop_win_wht_corn,v_count_lettuce,v_count_safflower,v_count_dbl_crop_oats_corn,v_count_oranges,v_count_cantaloupes,v_count_cotton,v_count_cucumbers,v_count_peaches,v_count_aquaculture,v_count_watermelons,v_count_peppers,v_count_millet,v_count_squash,v_count_citrus,v_count_cauliflower,v_count_pop_or_orn_corn,v_count_buckwheat,v_count_nectarines,v_count_vetch,v_pct_almonds,v_pct_olives,v_pct_rice,v_pct_pistachios,v_pct_tomatoes,v_pct_honeydew_melons,v_pct_pecans,v_pct_sorghum,v_pct_dbl_crop_win_wht_corn,v_pct_lettuce,v_pct_safflower,v_pct_dbl_crop_oats_corn,v_pct_oranges,v_pct_cantaloupes,v_pct_cotton,v_pct_cucumbers,v_pct_peaches,v_pct_aquaculture,v_pct_watermelons,v_pct_peppers,v_pct_millet,v_pct_squash,v_pct_citrus,v_pct_cauliflower,v_pct_pop_or_orn_corn,v_pct_buckwheat,v_pct_nectarines,v_pct_vetch,v_count_dbl_crop_win_wht_sorghum,v_count_pomegranates,v_count_chick_peas,v_count_soybeans,v_count_sweet_potatoes,v_pct_dbl_crop_win_wht_sorghum,v_pct_pomegranates,v_pct_chick_peas,v_pct_soybeans,v_pct_sweet_potatoes,v_count_lentils,v_count_asparagus,v_count_flaxseed,v_count_hops,v_count_sugarbeets,v_count_dbl_crop_barley_corn,v_count_turnips,v_count_apricots,v_count_radishes,v_count_camelina,v_pct_lentils,v_pct_asparagus,v_pct_flaxseed,v_pct_hops,v_pct_sugarbeets,v_pct_dbl_crop_barley_corn,v_pct_turnips,v_pct_apricots,v_pct_radishes,v_pct_camelina
Threatened,Accessible,Lake Ozette Sockeye,0,0,0,0,Sockeye,Washington Coast,Domain_wc.shp,Sockeye,Sockeye,Salmon,Puget Sound,231.668423818104,180773,33694,26163,6446,5319,1833,1441,918,783,391,311,63,16,10,2,2,1,1,0.7002173012042593,0.1305124202551062,0.10134137980454512,0.02496833445018147,0.02060294305623879,0.007100055390503047,0.005581658383914288,0.003555837887878776,0.003032920551426015,0.0015145235448372565,0.0012046466047171017,2.440280903446219e-4,6.197538802403096e-5,3.873461751501935e-5,7.74692350300387e-6,7.74692350300387e-6,3.873461751501935e-6,3.873461751501935e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endangered,Accessible,Snake River Sockeye,0,0,0,0,Sockeye,Snake River,Domain_ic.shp,Sockeye,Sockeye,Salmon,Interior Columbia,697.840653063498,400670,20049,170396,1409,3637,138580,1259,4,2,15474,348,13528,19,NA,NA,3,NA,56,0.5157019644992348,0.02580504825977777,0.21931652467819307,0.0018135225197280103,0.004681179137154559,0.1783661822454987,0.0016204576666696698,5.148396081555742e-6,2.574198040777871e-6,0.01991657024149839,4.4791045909534956e-4,0.01741187554782152,2.4454881387389776e-5,NA,NA,3.861297061166807e-6,NA,7.20775451417804e-5,11227,203,36,10,9,8,7,5,2,0.01445026070190658,2.612811011389539e-4,4.633556473400168e-5,1.2870990203889355e-5,1.158389118350042e-5,1.0296792163111484e-5,9.00969314272255e-6,6.435495101944678e-6,2.574198040777871e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not Warranted,Accessible,Even Year Pink Salmon,-122.2509,47.4243,-121.0702,48.1723,Even Year Pink Salmon,Puget Sound,Domain_ps.shp,Pink,Pink,Salmon,Puget Sound,3521.69949444632,2161833,63329,241396,183138,55663,154718,164004,530721,71115,52304,88633,56377,25128,675,11989,25694,1507,21741,0.5508847071306857,0.01613768390892321,0.06151324582542639,0.04666776920071972,0.014184211015844128,0.03942570037456428,0.04179198648011247,0.13523990181161294,0.01812173555848149,0.013328260657397397,0.02258572435850228,0.014366154616895324,0.0064031916067429214,1.7200550519545814e-4,0.0030550725952419966,0.006547421408136447,3.8401821678452655e-4,0.005540106205117711,5458,1585,NA,5,36,1365,1,103,203,0.0013908237738619416,4.038944084960017e-4,NA,1.27411485329969e-6,9.173626943757768e-6,3.4783335495081535e-4,2.5482297065993796e-7,2.624676597797361e-5,5.172906304396741e-5,1540,827,655,614,490,351,186,144,144,110,83,74,69,69,59,38,37,30,27,12,8,3,2,3.924273748163045e-4,2.107385967357687e-4,1.6690904578225938e-4,1.564613039852019e-4,1.248632556233696e-4,8.944286270163824e-5,4.739707254274847e-5,3.669450777503107e-5,3.669450777503107e-5,2.8030526772593178e-5,2.1150306564774853e-5,1.885689982883541e-5,1.758278497553572e-5,1.758278497553572e-5,1.503455526893634e-5,9.683272885077643e-6,9.428449914417705e-6,7.64468911979814e-6,6.880220207818325e-6,3.057875647919256e-6,2.0385837652795036e-6,7.64468911979814e-7,5.096459413198759e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Threatened,Accessible,Hood Canal Summer-run Chum Salmon,-123.5247,47.2657,-122.5403,48.1848,Summer-run Chum,Puget Sound,Domain_ps.shp,Chum,Chum,Salmon,Puget Sound,3548.1354424791,2733541,16582,283596,166172,41281,148366,112555,140280,59697,29781,43600,154912,11067,1539,346,901,2232,2421,0.6913840448610082,0.004194021685383625,0.07172884898613281,0.04202924686428462,0.010441045060566964,0.03752564355166004,0.028468104619367617,0.03548048257300777,0.015098933334479932,0.007532394151031825,0.011027580839628877,0.039181298234600655,0.00279913387963699,3.892533695456156e-4,8.751245345210072e-5,2.2788647560792702e-4,5.645312026158636e-4,6.123342479986585e-4,3257,305,NA,2,380,104,36,9,108,8.237805228135608e-4,7.714248064419282e-5,NA,5.058523320930677e-7,9.611194309768286e-5,2.6304321268839522e-5,9.105341977675219e-6,2.2763354944188048e-6,2.7316025933025656e-5,24,2,93,184,1,207,NA,5,NA,23,3,NA,36,13,3,NA,8,1,NA,45,1,NA,4,6.070227985116813e-6,5.058523320930677e-7,2.352213344232765e-5,4.653841455256223e-5,2.5292616604653386e-7,5.235571637163251e-5,NA,1.2646308302326693e-6,NA,5.8173018190702784e-6,7.587784981396016e-7,NA,9.105341977675219e-6,3.2880401586049402e-6,7.587784981396016e-7,NA,2.023409328372271e-6,2.5292616604653386e-7,NA,1.1381677472094023e-5,2.5292616604653386e-7,NA,1.0117046641861355e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not Warranted,Accessible,Deschutes River Summer\Fall-run Chinook Salmon,-121.8203,44.6415,-120.7721,45.6412,Summer/fall-run Chinook,Middle Columbia River,Domain_ic.shp,Late Chinook,Chinook,Salmon,Interior Columbia,3618.18662135938,978257,18391,960886,45017,2166,1687678,18576,97,114,1027,8847,4619,1217,NA,NA,28,11,10054,0.24279391814583962,0.004564468180263608,0.23848260409226127,0.011172783648030387,5.375802337257885e-4,0.41886534334897096,0.004610383389515349,2.407446106712903e-5,2.82936965118836e-5,2.548914589272321e-4,0.002195739763514335,0.0011463910893718453,3.020476197803714e-4,NA,NA,6.94932896783106e-6,2.7300935230764877e-6,0.00249530548009191,199,22355,49,645,131674,3074,4,2642,183,4.938987373565646e-5,0.005548294609852262,1.2161325693704354e-5,1.6008275658039407e-4,0.03268021223250668,7.629370445397385e-4,9.927612811187228e-7,6.557188261789164e-4,4.541882861118157e-5,31183,NA,157,NA,7,NA,4,40,NA,25,139,3,NA,36,91864,NA,91,144,NA,NA,33,4487,2,0.007739318757281284,NA,3.896588028390987e-5,NA,1.737332241957765e-6,NA,9.927612811187228e-7,9.927612811187229e-6,NA,6.204758006992018e-6,3.449845451887562e-5,7.445709608390421e-7,NA,8.934851530068506e-6,0.02279975558217259,NA,2.2585319145450943e-5,3.5739406120274025e-5,NA,NA,8.190280569229463e-6,0.0011136299670949272,4.963806405593614e-7,2917,118,51,45,5,3,1,1,7.239711642558287e-4,2.9286457793002322e-5,1.2657706334263716e-5,1.1168564412585632e-5,1.2409516013984036e-6,7.445709608390421e-7,2.481903202796807e-7,2.481903202796807e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endangered,Accessible,Central California Coast Coho Salmon,-124.364,36.8748,-121.809,40.3023,Coho,North-Central California Coast,Domain_nc.shp,Coho,Coho,Salmon,North-Central California Coast,10603.6984546169,5920484,44412,2666574,615187,50500,801846,211342,772903,34688,55122,202308,14537,62444,66134,NA,322,NA,35183,0.5021364924409616,0.003766733581627446,0.2261612589771824,0.05217611302982625,0.004283077678829731,0.06800730107839414,0.017924637679192734,0.06555254628119872,0.0029420078915494197,0.004675085303216879,0.017158433248488817,0.001232932677567283,0.005296089159937499,0.005609050677459909,NA,2.7309921041250957e-5,NA,0.0029839905341438894,3,2785,7,280,3138,224,3043,12,5,2.5444025814830083e-7,2.3620537298100596e-4,5.936939356793686e-7,2.3747757427174747e-5,2.661445100231227e-4,1.8998205941739797e-5,2.580872351817598e-4,1.0177610325932033e-6,4.2406709691383474e-7,2,NA,7436,NA,5,NA,12138,288,1,69,61,13,NA,355,4256,2819,178828,5251,NA,NA,33,7,3867,1.696268387655339e-7,NA,6.30672586530255e-4,NA,4.2406709691383474e-7,NA,0.0010294652844680251,2.442626478223688e-5,8.481341938276695e-8,5.852125937410919e-6,5.173618582348784e-6,1.1025744519759704e-6,NA,3.0108763880882265e-5,3.609659128930561e-4,2.3908902924002002e-4,0.015167014161381448,4.4535526517890925e-4,NA,NA,2.798842839631309e-6,5.936939356793686e-7,3.279734927531598e-4,970,303,26,10,10,NA,NA,1518,8.226901680128394e-5,2.5698466072978385e-5,2.205148903951941e-6,8.481341938276695e-7,8.481341938276695e-7,NA,NA,1.2874677062304024e-4,4963,1411,820,334,260,227,203,120,85,77,66,61,34,31,25,21,20,15,14,10,9,9,7,5,5,4,1,1,4.2092900039667234e-4,1.1967173474908417e-4,6.95470038938689e-5,2.832768207384416e-5,2.2051489039519407e-5,1.92526461998881e-5,1.7217124134701692e-5,1.0177610325932033e-5,7.209140647535191e-6,6.530633292473055e-6,5.597685679262618e-6,5.173618582348784e-6,2.8836562590140763e-6,2.6292160008657754e-6,2.1203354845691738e-6,1.7810818070381058e-6,1.696268387655339e-6,1.2722012907415042e-6,1.1873878713587373e-6,8.481341938276695e-7,7.633207744449025e-7,7.633207744449025e-7,5.936939356793686e-7,4.2406709691383474e-7,4.2406709691383474e-7,3.392536775310678e-7,8.481341938276695e-8,8.481341938276695e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endangered,Accessible,Sacramento River Winter-run Chinook Salmon,-122.6622,38.0255,-121.2208,40.7301,Winter-run Chinook,California Central Valley,Domain_cv.shp,Late Chinook,Chinook,Salmon,Central Valley,11039.7685251481,696139,213676,1440299,400410,113381,1981934,362416,29565,2410,267914,442418,58074,143721,NA,2,166604,NA,175373,0.056699647978523594,0.01740364206208675,0.11731054614641552,0.03261289203317244,0.009234740170358195,0.16142603720904472,0.02951832841111417,0.0024080321494486735,1.9629147573723332e-4,0.02182125909986105,0.03603439091813913,0.004730054424051488,0.011705895097274236,NA,1.628974902383679e-7,0.013569686731836523,NA,0.014283910777786646,NA,401250,5716,8275,1038163,40659,30809,991,41,NA,0.03268130897907256,4.6556102710125545e-4,6.739883658612472e-4,0.08455707357916736,0.0033116245278009,0.0025093543883769383,8.071570641311129e-5,3.339398549886542e-6,5,328,4021,NA,6140,23,7640,172038,634,18692,9195,1416,NA,5087,274417,641,122208,24443,105,103,4902,1145,869010,4.0724372559591976e-7,2.6715188399092335e-5,3.2750540412423865e-4,NA,5.000952950317895e-4,1.8733211377412307e-6,6.222684127105654e-4,0.014012279212814168,5.163850440556262e-5,0.0015224399437677864,7.489212113708964e-4,1.1533142308876447e-4,NA,4.1432976642128875e-4,0.022350920289371103,5.220864562139691e-5,0.009953688243525232,0.0019908516769482133,8.552118237514315e-6,8.389220747275946e-6,3.9926174857423974e-4,9.325881316146562e-5,0.07077977399602205,92037,200746,2,151,1551,NA,NA,103908,0.0074962981545343334,0.0163505097876957,1.628974902383679e-7,1.2298760512996775e-5,1.263270036798543e-4,NA,NA,0.008463176207844167,730911,62206,1135128,30344,275651,6867,3736,1497,5911,203,35269,4757,487,1229,5506,7674,8323,64,9419,1313,13,925,1424,104,2024,17,5,3851,0.05953178374380786,0.005066600638883957,0.09245475114964903,0.0024714807218965177,0.022451428040848175,5.593085327334361e-4,3.042925117652712e-4,1.2192877144341837e-4,4.814435323994963e-4,1.6534095259194343e-5,0.0028726157916084986,3.8745168053195807e-4,3.9665538873042584e-5,1.0010050775147707e-4,4.4845679062622683e-4,6.250376700446176e-4,6.77897905626968e-4,5.2127196876277726e-6,7.671657302775936e-4,1.0694220234148853e-4,1.0588336865493914e-6,7.534008923524515e-5,1.1598301304971794e-4,8.470669492395131e-6,1.6485226012122832e-4,1.3846286670261271e-6,4.0724372559591976e-7,3.136591174539774e-4,1247,521,189,16,1,1.0156658516362239e-4,4.243479620709484e-5,1.5393812827525766e-5,1.3031799219069431e-6,8.144874511918395e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Threatened,Accessible,Snake River Fall-run Chinook Salmon,-119.076,45.1408,-115.8262,46.7986,Fall-run Chinook,Snake River,Domain_ic.shp,Late Chinook,Chinook,Salmon,Interior Columbia,11402.9481326884,2709077,241679,2854357,166878,5300,3990618,88519,513,1799,11585,45355,639,7048,NA,2941,41040,590,172173,0.21328780698419378,0.019027581683404703,0.22472581801107255,0.013138438905172606,4.172732546975324e-4,0.3141845587008599,0.006969171930673749,4.0388901822610214e-5,1.4163671418884166e-4,9.120963501265873e-4,0.003570835559774827,5.030898297202324e-5,5.54894697944945e-4,NA,2.3154729095574392e-4,0.003231112145808817,4.64511736361404e-5,0.013555318505856272,1,137052,8213,4992,451954,23951,7182,297948,55031,7.873080277311932e-8,0.010790213981661549,6.46616083175629e-4,3.9302416744341163e-4,0.03558270123652237,0.001885681457218981,5.65444625516543e-4,0.023457685224645357,0.004332634807407529,52312,7,60965,NA,81710,NA,428,1072,455,979,19,27248,3,NA,901348,2,6989,46,61,NA,41,2780,NA,0.004118565754667418,5.511156194118353e-7,0.004799823391063219,NA,0.00643309389459158,NA,3.369678358689507e-5,8.43994205727839e-5,3.582251526176929e-5,7.707745591488382e-5,1.4958852526892671e-06,0.002145256913961955,2.3619240831935797e-7,NA,0.07096385161794555,1.5746160554623864e-7,5.502495805813309e-4,3.6216169275634885e-6,4.802578969160279e-6,NA,3.227962913697892e-6,2.188716317092717e-4,NA,1894,344,1731,12075,86,69965,676,NA,1.4911614045228798e-4,2.7083396153953047e-5,1.3628301960026955e-4,9.506744434854158e-4,6.770849038488262e-6,0.005508400616021293,5.322202267462866e-5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,45,40,NA,1,NA,44,15,NA,NA,NA,288,NA,NA,7.873080277311932e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1022312388236705e-6,NA,NA,NA,NA,3.5428861247903695e-6,3.149232110924773e-6,NA,7.873080277311932e-8,NA,3.46415532201725e-6,1.1809620415967898e-6,NA,NA,NA,2.2674471198658363e-5,NA,NA,NA,NA,131821,136,NA,NA,NA,0.010378373152355362,1.0707389177144227e-5,NA,18904,316,93,34,33,29,13,5,5,1,0.0014883270956230477,2.4878933676305705e-5,7.3219646579000966e-6,2.6768472942860568e-6,2.5981164915129377e-6,2.28319328042046e-6,1.0235004360505513e-6,3.936540138655966e-7,3.936540138655966e-7,7.873080277311932e-8
Endangered,Accessible,Upper Columbia River Spring-run Chinook Salmon,-121.1533,47.2827,-119.1427,49.0002,Spring-run Chinook,Upper Columbia River,Domain_ic.shp,Stream type Chinook,Chinook,Salmon,Interior Columbia,11645.5109358361,4512640,153804,4149573,245666,51337,2617018,185446,4260,1325,21450,86447,304820,21271,NA,132,5839,39,22074,0.347717407175817,0.011851228569810435,0.31974160678600033,0.018929572168676044,0.003955726256068492,0.2016519628183153,0.014289374355394307,3.2825045972401535e-4,1.0209668054796251e-4,0.0016528104133990912,0.006661095655343181,0.02348763031292825,0.0016390177297628005,NA,1.0171141005532869e-5,0.00044991888129777597,3.0051098425438025e-6,0.0017008921708797922,17797,45589,105,34392,132325,2338,694,7553,286,0.0013713317914808218,0.0035128192977366512,8.090680345310237e-6,0.002650044556532473,0.010196183587554067,1.801524823555746e-4,5.347554437757433e-5,5.819896061726497e-4,2.203747217865455e-5,187,NA,174781,95,2287,3,5,6,1,548,60,119,3,41,103430,NA,3312,54236,NA,NA,240,19,NA,1.4409116424504898e-5,NA,0.013467592394606367,7.320139360042596e-6,1.7622272333070964e-4,2.3116229558029248e-7,3.852704926338208e-7,4.6232459116058496e-7,7.705409852676416e-8,4.222564599266676e-5,4.62324591160585e-6,9.169437724684935e-6,2.3116229558029248e-7,3.1592180395973307e-6,0.007969705410623218,NA,2.552031743206429e-4,0.004179106087697581,NA,NA,1.84929836464234e-5,1.464027872008519e-6,NA,784,1300,185,58,NA,11159,NA,8,6.0410413244983107e-5,1.0017032808479341e-4,1.425500822745137e-5,4.469137714552322e-6,NA,8.598466854601613e-4,NA,6.164327882141133e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,15,2,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5256711508299304e-5,NA,1.1558114779014625e-6,1.5410819705352832e-7,NA,6.164327882141133e-7,NA,NA,NA,7.705409852676416e-8,NA,NA,NA,NA,2,NA,NA,NA,NA,1.5410819705352832e-7,NA,NA,NA,20,NA,525,2,NA,NA,35,NA,NA,NA,1.5410819705352833e-6,NA,4.045340172655119e-5,1.5410819705352832e-7,NA,NA,2.6968934484367458e-6,NA,NA
Threatened,Accessible,Columbia River Chum Salmon,-124.0914,45.1304,-120.9133,46.6495,Chum,Lower Columbia River,Domain_lw.shp,Chum,Chum,Salmon,Willamette/Lower Columbia,12258.1662043498,6037449,492902,1114869,710108,275663,1510299,588858,777139,301342,369518,457290,31242,194087,464821,3745,21078,17491,25949,0.44219206363459385,0.03610090164730478,0.08165472268042943,0.052009403627829263,0.020189982695953713,0.11061662492143014,0.043128866878666745,0.0569188573089271,0.022070752206730986,0.027064067451356998,0.03349262391772807,0.002288212198905859,0.014215230812657369,0.03404420595696884,2.7428956804629803e-4,0.0015437851843203925,0.0012810677796255806,0.0019005447266310781,4881,13461,130,51217,52509,1546,492,4962,461,3.574919577126784e-4,9.85904372622488e-4,9.521400225906206e-6,0.0037512119643864474,0.0038458400343239153,1.1323142114808457e-4,3.603483777804503e-5,3.6342452246882e-4,3.3764350031867393e-5,18562,150,2335,2750,102,117,35,5855,31,824,1122,1430,445,8218,51349,112,4857,27462,13,14,157,6,647,0.0013595094691790078,1.0986231029891777e-5,1.7101899636531533e-4,2.014142355480159e-4,7.470637100326408e-6,8.569260203315587e-6,2.563453906974748e-6,4.288292178667757e-4,2.2704877461776337e-6,6.0351029124205494e-5,8.21770081035905e-5,1.0473540248496828e-4,3.259248538867894e-5,6.018989773576708e-4,0.0037608798476927523,8.203052502319193e-6,3.5573416074789575e-4,0.0020113591769525866,9.521400225906207e-7,1.025381562789899e-6,1.1498921811286727e-5,4.3944924119567105e-7,4.7387276508933194e-5,220,4,1036,20,188,4,NA,59,1.6113138843841273e-5,2.9296616079711407e-7,7.587823564645254e-5,1.4648308039855702e-6,1.376940955746436e-5,2.9296616079711407e-7,NA,4.321250871757432e-6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,253,NA,NA,NA,NA,284,NA,53,NA,389,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,7.324154019927852e-8,NA,NA,NA,NA,NA,NA,NA,1.8530109670417462e-5,NA,NA,NA,NA,2.0800597416595097e-5,NA,3.881801630561761e-6,NA,2.8490959137519343e-5,NA,1.0986231029891777e-5,NA,NA,NA,1,NA,NA,NA,NA,7.324154019927852e-8,NA,NA,NA,NA,472,65,NA,26,NA,127,NA,NA,NA,NA,3.4570006974059455e-5,4.760700112953103e-6,NA,1.9042800451812414e-6,NA,9.301675605308371e-6,NA
