status,class,esu_dps,x_min,y_min,x_max,y_max,species,subdomain,sourcethm,altspname,species2,species3,domain,area,v_count_evergreen_forest,v_count_grass_pasture,v_count_shrubland,v_count_mixed_forest,v_count_developed_open_space,v_count_developed_low_intensity,v_count_open_water,v_count_background,v_count_developed_med_intensity,v_count_herbaceous_wetlands,v_count_deciduous_forest,v_count_woody_wetlands,v_count_developed_high_intensity,v_count_barren,v_count_pears,v_count_perennial_ice_snow,v_count_christmas_trees,v_count_other_hay_non_alfalfa,v_count_cherries,v_count_corn,v_count_sod_grass_seed,v_count_other_tree_crops,v_count_clover_wildflowers,v_count_blueberries,v_count_spring_wheat,v_count_alfalfa,v_count_grapes,v_count_apples,v_count_caneberries,v_count_winter_wheat,v_count_fallow_idle_cropland,v_count_sweet_corn,v_count_barley,v_count_other_crops,v_count_mint,v_count_dry_beans,v_count_walnuts,v_count_oats,v_count_hops,v_count_potatoes,v_count_cranberries,v_count_buckwheat,v_count_squash,v_count_garlic,v_count_peaches,v_count_herbs,v_count_vetch,v_count_pumpkins,v_count_x228,v_count_radishes,v_count_greens,v_count_strawberries,v_count_triticale,v_count_peas,v_count_sugarbeets,v_count_plums,v_count_cauliflower,v_count_rye,v_count_misc_vegs_fruits,v_count_turnips,v_count_onions,v_count_cabbage,v_count_broccoli,v_count_carrots,v_count_sunflower,v_count_canola,v_count_dbl_crop_win_wht_corn,v_pct_evergreen_forest,v_pct_grass_pasture,v_pct_shrubland,v_pct_mixed_forest,v_pct_developed_open_space,v_pct_developed_low_intensity,v_pct_open_water,v_pct_background,v_pct_developed_med_intensity,v_pct_herbaceous_wetlands,v_pct_deciduous_forest,v_pct_woody_wetlands,v_pct_developed_high_intensity,v_pct_barren,v_pct_pears,v_pct_perennial_ice_snow,v_pct_christmas_trees,v_pct_other_hay_non_alfalfa,v_pct_cherries,v_pct_corn,v_pct_sod_grass_seed,v_pct_other_tree_crops,v_pct_clover_wildflowers,v_pct_blueberries,v_pct_spring_wheat,v_pct_alfalfa,v_pct_grapes,v_pct_apples,v_pct_caneberries,v_pct_winter_wheat,v_pct_fallow_idle_cropland,v_pct_sweet_corn,v_pct_barley,v_pct_other_crops,v_pct_mint,v_pct_dry_beans,v_pct_walnuts,v_pct_oats,v_pct_hops,v_pct_potatoes,v_pct_cranberries,v_pct_buckwheat,v_pct_squash,v_pct_garlic,v_pct_peaches,v_pct_herbs,v_pct_vetch,v_pct_pumpkins,v_pct_x228,v_pct_radishes,v_pct_greens,v_pct_strawberries,v_pct_triticale,v_pct_peas,v_pct_sugarbeets,v_pct_plums,v_pct_cauliflower,v_pct_rye,v_pct_misc_vegs_fruits,v_pct_turnips,v_pct_onions,v_pct_cabbage,v_pct_broccoli,v_pct_carrots,v_pct_sunflower,v_pct_canola,v_pct_dbl_crop_win_wht_corn,v_count_almonds,v_count_olives,v_count_rice,v_count_pistachios,v_count_pecans,v_count_honeydew_melons,v_count_tomatoes,v_count_lettuce,v_count_cantaloupes,v_count_dbl_crop_oats_corn,v_count_oranges,v_count_cotton,v_count_cucumbers,v_count_safflower,v_count_sorghum,v_count_nectarines,v_count_pop_or_orn_corn,v_pct_almonds,v_pct_olives,v_pct_rice,v_pct_pistachios,v_pct_pecans,v_pct_honeydew_melons,v_pct_tomatoes,v_pct_lettuce,v_pct_cantaloupes,v_pct_dbl_crop_oats_corn,v_pct_oranges,v_pct_cotton,v_pct_cucumbers,v_pct_safflower,v_pct_sorghum,v_pct_nectarines,v_pct_pop_or_orn_corn,v_count_watermelons,v_count_citrus,v_count_peppers,v_count_dbl_crop_win_wht_sorghum,v_count_pomegranates,v_count_aquaculture,v_count_chick_peas,v_count_soybeans,v_count_millet,v_count_sweet_potatoes,v_pct_watermelons,v_pct_citrus,v_pct_peppers,v_pct_dbl_crop_win_wht_sorghum,v_pct_pomegranates,v_pct_aquaculture,v_pct_chick_peas,v_pct_soybeans,v_pct_millet,v_pct_sweet_potatoes,v_count_asparagus,v_count_apricots,v_count_mustard,v_count_dbl_crop_barley_corn,v_count_speltz,v_count_tobacco,v_count_durum_wheat,v_pct_asparagus,v_pct_apricots,v_pct_mustard,v_pct_dbl_crop_barley_corn,v_pct_speltz,v_pct_tobacco,v_pct_durum_wheat
Threatened,Accessible,Lower Columbia River Chinook Salmon,-124.0914,44.8004,-121.353,46.8744,Chinook,Lower Columbia River,Domain_lw.shp,Chinook,Chinook,Salmon,Willamette/Lower Columbia,19271.6608407849,13213941,1426442,1423652,909476,855507,615573,525308,464821,450353,377812,349075,301207,192502,106684,56730,30835,27486,22490,22043,21222,18573,8240,5885,4892,4806,4693,3591,3124,2791,2731,2242,1430,1268,1114,1036,819,653,518,465,461,457,389,284,188,170,158,151,150,127,127,118,112,81,66,65,60,53,35,32,26,15,14,13,6,3,2,1,0.6155927536200826,0.06645310121025498,0.06632312456039707,0.04236940631045487,0.03985517340142929,0.02867746103332648,0.02447232042421397,0.021654435972617136,0.020980420857870115,0.0176009813749517,0.016262221881415267,0.014032213897401558,0.008968016147292708,0.004970046205534359,0.0026428585471107587,0.0014364982073005509,0.001280479640858211,0.0010477329230481397,0.0010269087071031633,9.886610979514283e-4,8.652531605056958e-4,3.8387368990292e-4,0.00027416221663576266,2.2790171007343261e-4,2.2389526136813514e-4,2.186309741158257e-4,1.6729252675259536e-4,1.4553657855057307e-4,1.3002323647075847e-4,1.272280396996207e-4,1.044471860148479e-4,6.661885637878344e-5,5.907182509671148e-5,5.1897486717457876e-5,4.826373091497878e-5,3.8154435926030524e-5,3.0421058192549367e-5,2.413186545748939e-5,2.1662774976317694e-5,2.147642852490851e-5,2.1290082073499328e-5,1.812219239954319e-5,1.3230598050052098e-5,8.758283216231671e-6,7.91972418489034e-6,7.360684830662787e-6,7.034578540696714e-6,6.987991927844418e-6,5.916499832241607e-6,5.916499832241607e-6,5.497220316570942e-6,5.217700639457165e-6,3.7735156410359856e-6,3.0747164482515437e-6,3.028129835399248e-6,2.795196771137767e-6,2.4690904811716943e-6,1.6305314498303641e-6,1.4907716112734758e-6,1.211251934159699e-6,6.987991927844418e-7,6.522125799321456e-7,6.056259670798495e-7,2.795196771137767e-7,1.3975983855688835e-7,9.317322570459224e-8,4.658661285229612e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Threatened,Accessible,California Coastal Chinook Salmon,-124.4097,38.2988,-122.5295,41.5463,Chinook,North-Central California Coast,Domain_nc.shp,Chinook,Chinook,Salmon,North-Central California Coast,20198.5623690845,13265302,1359028,4815286,864797,997916,210199,90707,85432,173237,91166,103465,52523,47934,60544,5251,10,NA,30201,38,47,1,7,36,NA,18,2456,177959,6626,NA,1777,1143,NA,101,1,5,6,3312,1151,NA,4,NA,NA,5,4,7,131,NA,NA,1,NA,NA,NA,120,NA,NA,1046,5,9812,NA,NA,2,NA,NA,NA,100,NA,68,0.5904767899163016,0.0604942496481702,0.21434224564272325,0.038494604682897365,0.04442011469366593,0.009356562765296762,0.004037629763946419,0.0038028243244013194,0.007711277711938283,0.004058061175652808,0.004605525081049051,0.0023379499717966394,0.0021336803676122863,0.002694987778543795,2.3373713043626894e-4,4.4512879534616065e-7,NA,0.0013443334748249396,1.6914894223154105e-6,2.092105338126955e-6,4.451287953461606e-8,3.1159015674231245e-7,1.6024636632461784e-6,NA,8.012318316230892e-7,1.0932363213701706e-4,0.00792146752910074,2.9494233979636604e-4,NA,7.909938693301274e-5,5.087822130806616e-5,NA,4.495800832996222e-6,4.451287953461606e-8,2.2256439767308032e-7,2.670772772076964e-7,1.474266570186484e-4,5.123432434434309e-5,NA,1.7805151813846425e-7,NA,NA,2.2256439767308032e-7,1.7805151813846425e-7,3.1159015674231245e-7,5.831187219034704e-6,NA,NA,4.451287953461606e-8,NA,NA,NA,5.3415455441539275e-6,NA,NA,4.65604719932084e-5,2.2256439767308032e-7,4.3676037399365285e-4,NA,NA,8.902575906923212e-8,NA,NA,NA,4.4512879534616066e-6,NA,3.026875808353892e-6,4120,1201,580,194,132,65,37,35,12,12,12,10,4,3,2,1,1,1.833930636826182e-4,5.3459968321073896e-5,2.5817470130077318e-5,8.635498629715516e-6,5.87570009856932e-6,2.8933371697500442e-6,1.6469765427807944e-6,1.5579507837115623e-6,5.341545544153928e-7,5.341545544153928e-7,5.341545544153928e-7,4.4512879534616065e-7,1.7805151813846425e-7,1.335386386038482e-7,8.902575906923212e-8,4.451287953461606e-8,4.451287953461606e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Threatened,Accessible,Central Valley Spring-run Chinook Salmon,-123.069,38.0255,-121.0006,40.8065,Spring-run Chinook,California Central Valley,Domain_cv.shp,Stream type Chinook,Chinook,Salmon,Central Valley,23451.5061385875,4003136,4575242,6099712,82280,1004237,633019,280168,NA,787089,308112,93147,161620,257601,103075,24981,NA,NA,265344,9995,172041,67,8967,188914,24,1018,443848,130609,4080,NA,306683,1361378,1504,43434,9670,13,19749,1100593,37245,NA,45,NA,470,1041,1653,14441,4985,5424,333,5801,NA,25,797,97134,6325,NA,152280,104,8135,667,NA,178,116,107,1238,204676,NA,6547,0.1534789540843223,0.17541331517157122,0.23386100746404562,0.0031545888878264537,0.0385021254368519,0.02426974602798996,0.01074155152557805,NA,0.030176740558221143,0.011812915549416436,0.003571226192688025,0.006196459115830231,0.009876339962238483,0.003951862537830721,9.577635513708391e-4,NA,NA,0.010173204106118407,3.8320510371688633e-4,0.0065959969233173425,2.568758574190233e-6,3.4379191245916153e-4,0.007242902347530952,9.201523250830687e-7,3.902979445560683e-5,0.01701699038264458,0.005007507292782271,1.5642589526412167e-4,NA,0.01175812814639378,0.05219479716737241,5.766287903853897e-5,0.0016652456703190835,3.707447076480531e-4,4.984158427533289e-7,7.571703445027301e-4,0.042196383663339575,0.0014279613894882873,NA,1.7252856095307538e-6,NA,1.8019649699543427e-5,3.99116071004781e-5,6.337549139009636e-5,5.536633219385248e-4,1.9112330585579573e-4,2.0795442546877352e-4,1.2767113510527578e-5,2.2240848490862007e-4,NA,9.58492005294863e-7,3.0556725128800237e-05,0.0037240864976924495,2.424984773396004e-4,NA,0.00583836650265207,3.987326742026631e-6,3.118932985229485e-4,2.557256670126695e-5,NA,6.824463077699426e-6,4.4474029045681655e-6,4.102345782662015e-6,4.7464524102201625e-5,0.007847212387029257,NA,2.510098863466188e-4,924978,96172,1629467,32809,4980,6974,278473,433,1284,5264,743,5641,7812,36368,1588,10,2156,0.03546336072294528,0.0036872037253287034,0.06247324369567219,0.0012578865680687667,1.9093160745473675e-4,2.6738092979705506e-4,0.010676565767619058,1.660108153170703e-5,4.922814939194417e-5,2.018200766348864e-4,2.8486382397363335e-5,2.1627413607473294e-4,2.9950958181453887e-4,0.0013943374899425434,6.088341217632971e-5,3.8339680211794526e-7,8.2660350536629e-5,9533,3023,1439,1307,646,200,191,16,13,1,3.654921714590372e-4,1.1590085328025486e-4,5.5170799824772326e-5,5.010996203681545e-5,2.4767433416819265e-5,7.667936042358905e-6,7.322878920452755e-6,6.134348833887125e-7,4.984158427533289e-7,3.833968021179453e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Threatened,Accessible,Puget Sound Chinook Salmon,-123.7579,46.7315,-120.9068,49.0069,Chinook,Puget Sound,Domain_ps.shp,Chinook,Chinook,Salmon,Puget Sound,24884.3540939037,15444060,1256030,1768862,2101602,1258651,1384304,467726,7501,930732,230069,517252,368821,361596,824888,93,170706,18064,200919,9,137169,18165,5576,634,74945,1709,6356,470,1732,47342,2005,797,148,28727,2638,NA,6079,49,52,NA,54177,658,NA,864,NA,21,35,NA,5655,NA,NA,14766,148,NA,718,NA,NA,NA,4404,180,NA,NA,800,662,25,21,NA,NA,0.5569518967665325,0.04529562115762745,0.06378964119656633,0.07578908785308644,0.045390141052099826,0.049921506294426335,0.016867383503238343,2.7050504709550207e-4,0.0335645518588576,0.008296870507960947,0.018653416427175395,0.013300618847461695,0.013040067058998158,0.029747549298562128,3.3538154085964132e-6,0.0061560904638694545,6.514335649557592e-4,0.007245647721287986,3.245627814770722e-7,0.004946661352492058,6.550758806145575e-4,2.0108467439068387e-4,2.2863644828495976e-5,0.002702706406422131,6.163086594936849e-5,2.2921344878536345e-4,1.6949389699358215e-5,6.24603041686988e-5,0.0017072723556319505,7.230537520683665e-5,2.8741837426358507e-5,5.337254628734077e-6,0.0010359683359435394,9.51329575040574e-5,NA,2.192241276221247e-4,1.7670640324862822e-6,1.875251626311973e-6,NA,0.001953759756898149,2.3729145579101504e-5,NA,3.115802702179894e-5,NA,7.573131567798352e-7,1.2621885946330587e-06,NA,2.0393361436142705e-4,NA,NA,5.324993368100499e-4,5.337254628734077e-6,NA,2.5892897455615318e-5,NA,NA,NA,1.58819387736114e-4,6.4912556295414445e-6,NA,NA,2.8850025020184197e-5,2.3873395704202424e-5,9.015632818807562e-7,7.573131567798352e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Threatened,Accessible,Puget Sound Steelhead,-123.751,46.7315,-120.9068,49.0024,Steelhead,Puget Sound,Domain_ps.shp,Steelhead,Steelhead,Trout,Puget Sound,25829.7942710609,15178726,1455429,1747908,2306597,1468813,1666569,460416,8848,1189882,264496,609390,427084,461755,755772,109,137721,19994,203252,12,137842,18165,5603,650,75960,1728,6511,530,1810,47661,2011,865,149,28593,2643,NA,6095,50,79,NA,54417,703,NA,864,NA,24,35,NA,5679,NA,NA,14837,147,NA,720,NA,NA,NA,4443,182,NA,NA,805,662,25,21,NA,NA,0.5273452137945909,0.05056508149418124,0.06072650089034322,0.0801366918477191,0.05103007363788466,0.057900589654786415,0.015995952094691634,3.0740066403824273e-4,0.041339344137336385,0.009189223105273401,0.02117166485739882,0.014837918761314293,0.016042472154495793,0.02625732534601162,3.7869204769629814e-6,0.0047847566514478785,6.946393395999803e-4,0.007061460190675962,4.1690867636289703e-7,0.004788960480601205,6.310955088443354e-4,1.9466160947177602e-4,2.2582553302990256e-5,0.0026390319213771382,6.0034849396257175e-5,2.2620769931656855e-4,1.8413466539361286e-5,6.288372535140364e-5,0.0016558570353443363,6.986694568048216e-5,3.0052167087825495e-5,5.176616064839305e-6,9.933891486036928e-4,9.182413596892807e-5,NA,2.1175486520265478e-4,1.7371194848454043e-6,2.7446487860557387e-6,NA,0.0018905766201366475,2.4423899956926384e-5,NA,3.0017424698128588e-5,NA,8.338173527257941e-7,1.215983639391783e-6,NA,1.97302031088741e-4,NA,NA,5.154728359330253e-4,5.107131285445489e-6,NA,2.5014520581773823e-5,NA,NA,NA,1.5436043742336262e-4,6.323114924837272e-6,NA,NA,2.796762370601101e-5,2.2999461979353153e-5,8.685597424227022e-7,7.295901836350699e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not Warranted,Accessible,Puget Sound\Strait of Georgia Chum Salmon,-123.751,46.7315,-120.9068,49.0025,Chum,Puget Sound,Domain_ps.shp,Chum,Chum,Salmon,Puget Sound,27630.7848107428,16147506,1650470,1843693,2428172,1566839,1790634,477360,31068,1245217,300241,652237,450654,481438,836954,113,142922,20576,235724,13,161135,19495,6878,672,95547,1776,11731,597,1978,59732,2057,960,153,31156,2741,NA,6292,58,168,NA,55605,773,NA,866,NA,24,40,NA,5754,NA,NA,15206,157,NA,722,NA,NA,NA,4631,182,NA,NA,874,667,51,31,NA,NA,0.5244307504837524,0.05360315213698753,0.05987855360769899,0.07886097483188018,0.05088702569035814,0.058155329526536396,0.015503463076646268,0.0010090112092870083,0.040441544708212325,0.009751079389968477,0.021183032191056085,0.014636118755955564,0.01563590635305519,0.02718217998125398,3.6699583703306274e-6,0.004641750355791097,6.682571984771946e-4,0.007655728025555902,4.2220760012653237e-7,0.005233263203568369,6.331490126512884e-4,2.2338029797463766e-4,2.182488517577152e-5,0.003103128428406907,5.768005367882473e-5,3.809936428526424e-4,1.9389072098118447e-5,6.4240510234637e-5,0.00193994649005831,6.680623334309823e-5,3.117840739395931e-5,4.969058678412266e-6,0.001011869229964788,8.902084861129424e-5,NA,2.0434847846124166e-4,1.8836954467183753e-6,5.45622129394288e-6,NA,0.0018059118157719872,2.5105113453677657e-5,NA,2.8125521669967463e-5,NA,7.794601848489828e-7,1.2991003080816381e-6,NA,1.8687557931754365e-4,NA,NA,4.938529821172347e-4,5.098968709220429e-6,NA,2.3448760560873568e-5,NA,NA,NA,1.5040333816815165e-4,5.910906401771453e-6,NA,NA,2.8385341731583793e-5,2.1662497637261314e-5,1.6563528928040885e-6,1.0068027387632695e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Species of Concern,Accessible,Puget Sound\Strait of Georgia Coho Salmon,-123.751,46.7315,-120.9068,49.0025,Coho,Puget Sound,Domain_ps.shp,Coho,Coho,Salmon,Puget Sound,27672.6290147317,16174477,1655473,1845902,2432079,1569468,1792454,477512,31206,1245492,300935,653847,451338,481489,837346,115,142922,20603,235743,13,161139,19498,6878,673,95558,1779,11732,598,1978,59734,2057,964,153,31161,2741,NA,6292,58,168,NA,55606,774,NA,866,NA,24,40,NA,5754,NA,NA,15206,157,NA,722,NA,NA,NA,4631,182,NA,NA,877,667,51,31,NA,NA,0.5245124851465746,0.05368434832996797,0.05985965699892691,0.07886844195103161,0.0508953433881061,0.05812642362723185,0.015484952360890009,0.0010119607954856289,0.04038931856344891,0.009758841953132978,0.021203215094721912,0.014636171297599587,0.015613920126180219,0.0271537949194613,3.7292665346679265e-6,0.004634732449285299,6.68122420989246e-4,0.0076447693972367045,4.2156926044072215e-7,0.005225480696781348,6.322890338517846e-4,2.230425671777913e-4,2.182431632896969e-5,0.0030987934914765017,5.769013187108036e-5,3.804500433454271e-4,1.9392185980273218e-5,6.414338439628833e-5,0.0019370783233204688,6.670522836358196e-5,3.126098208191201e-5,4.961545911340806e-6,0.001010501517276411,8.888625714369379e-5,NA,2.040395220533095e-4,1.8808474696586064e-6,5.4479719810801014e-06,NA,0.0018032138689282149,2.509958519854761e-5,NA,2.808299842628195e-5,NA,7.782817115828716e-7,1.2971361859714527e-6,NA,1.8659304035199348e-4,NA,NA,4.931063210970477e-4,5.091259529937952e-6,NA,2.341330815678472e-5,NA,NA,NA,1.5017594193084493e-4,5.901969646170109e-6,NA,NA,2.8439710877424102e-5,2.1629745901073975e-5,1.6538486371136022e-6,1.0052805441278758e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not Warranted,Accessible,Odd Year Pink Salmon,-123.751,46.7315,-120.9068,49.0025,Odd Year Pink Salmon,Puget Sound,Domain_ps.shp,Pink,Pink,Salmon,Puget Sound,27672.6290990692,16174476,1655473,1845902,2432079,1569468,1792454,477512,31206,1245492,300935,653847,451338,481489,837346,115,142922,20603,235743,13,161139,19498,6878,673,95558,1779,11732,598,1978,59734,2057,964,153,31161,2741,NA,6292,58,168,NA,55606,774,NA,866,NA,24,40,NA,5754,NA,NA,15206,157,NA,722,NA,NA,NA,4631,182,NA,NA,877,667,51,31,NA,NA,0.5245124697272726,0.0536843500708658,0.059859658940080156,0.07886844450860946,0.05089534503856094,0.05812642551217911,0.015484952863042325,0.001011960828301904,0.04038931987321012,0.009758842269596665,0.021203215782308372,0.014636171772227289,0.015613920632514756,0.02715379580001558,3.7292666556020946e-6,0.004634732599582283,6.681224426553909e-4,0.007644769645144388,4.2156927411154116e-7,0.005225480866235356,6.322890543559099e-4,2.2304257441070616e-4,2.1824317036697476e-5,0.0030987935919654344,5.769013374187936e-5,3.804500556828154e-4,1.939218660913089e-5,6.414338647635603e-5,0.0019370783861368307,6.670523052672616e-5,3.126098309565582e-5,4.96154607223583e-6,0.001010501550045364,8.88862600261334e-5,NA,2.040395286699859e-4,1.8808475306514913e-6,5.447972157749147e-6,NA,0.001803213927403566,2.509958601248714e-5,NA,2.8082999336968818e-5,NA,7.782817368213067e-7,1.2971362280355112e-6,NA,1.8659304640290827e-4,NA,NA,4.931063370876995e-4,5.091259695039381e-6,NA,2.3413308916040976e-5,NA,NA,NA,1.5017594680081131e-4,5.901969837561576e-6,NA,NA,2.8439711799678583e-5,2.162974660249215e-5,1.6538486907452767e-6,1.0052805767275212e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Threatened,Accessible,Oregon Coast Coho Salmon,-124.5476,42.6635,-122.2694,46.2319,Coho,Oregon Coast,Domain_oc.shp,Coho,Coho,Salmon,Oregon Coast,27782.9122887331,20165692,2059162,2261970,3576930,1123430,226323,175086,143972,116769,502041,152489,133932,40567,98751,41,4,1231,124842,524,7752,6001,5294,881,380,224,1391,383,10,NA,606,1334,152,123,173,144,132,53,359,511,3,NA,13,289,51,33,127,86,18,NA,123,2,4,69,5,16,86,7,100,NA,110,7,NA,2,NA,NA,6,18,0.6519608233001412,0.06657311600456683,0.07312993888234634,0.11564285657476937,0.03632071479223612,0.0073170674932334515,0.005660565117642803,0.004654643324522061,0.003775164937356684,0.016231085136598645,0.004929999624323095,0.004330048132552779,0.0013115391586272778,0.0031926394225257554,1.3255381345359132e-6,1.2932079361325984e-7,3.979847423448071e-5,0.004036166629066646,1.6941023963337038e-5,2.5062369802249755e-4,1.9401352061829307e-4,1.7115607034714938e-4,2.8482904793320476e-5,1.2285475393259684e-5,7.24196444234255e-6,4.4971305979011104e-5,1.238246598846963e-5,3.233019840331496e-7,NA,1.9592100232408864e-5,4.312848467002215e-5,4.914190157303873e-6,3.976614403607739e-6,5.593124323773488e-6,4.655548570077354e-6,4.267586189237574e-6,1.7135005153756928e-6,1.160654122679007e-5,1.6520731384093945e-5,9.699059520994487e-8,NA,4.2029257924309443e-7,9.343427338558022e-6,1.6488401185690628e-6,1.0668965473093936e-6,4.105935197221e-6,2.7803970626850864e-6,5.819435712596692e-7,NA,3.976614403607739e-6,6.466039680662992e-8,1.2932079361325984e-7,2.230783689828732e-6,1.616509920165748e-7,5.172831744530393e-7,2.7803970626850864e-6,2.263113888232047e-7,3.233019840331496e-6,NA,3.5563218243646453e-6,2.263113888232047e-7,NA,6.466039680662992e-8,NA,NA,1.9398119041988974e-7,5.819435712596692e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not Warranted,Accessible,Upper Columbia River Summer\Fall-run Chinook Salmon,-121.5227,45.9828,-118.9961,49.0002,Summer/fall-run Chinook,Upper Columbia River,Domain_ic.shp,Late Chinook,Chinook,Salmon,Interior Columbia,30818.1293203346,8476202,8364424,10675278,5052,791241,609225,417189,NA,360970,132869,2331,134667,77285,333432,85735,17825,382,231519,195564,292991,8514,146,14,9757,30505,577421,353276,878949,146,334852,409684,42398,4264,2842,28820,41569,12,1829,243876,76833,18,1324,1399,170,5581,767,NA,266,16762,NA,17,7,6805,8528,30,127,NA,363,503,NA,14431,NA,748,5713,3600,11917,NA,0.24685520487445284,0.24359985759857897,0.31089961491971746,1.4713104938104775e-4,0.023043570594479337,0.017742659057634367,0.012149931781518197,NA,0.010512647445581315,0.0038695873713797376,6.788647587237179e-5,0.0039219511138158265,0.002250796348260941,0.009710649259149152,0.002496888463714198,5.191233086336454e-4,1.1125111018123564e-5,0.006742603606819239,0.005695474374733812,0.008532872780918955,2.479560083987016e-4,4.252005781795917e-6,4.0772658181604684e-7,2.8415630419851206e-4,8.884070984498934e-4,0.016816420757057398,0.010288572565546125,0.025597919382902325,4.252005781795917e-6,0.009752004383876208,0.011931361210337523,0.0012347708297026252,1.2418186749025884e-4,8.276849610865751e-5,8.39334291995605e-4,0.0012106275913936607,3.4947992727089726e-7,5.326656558153926e-5,0.007102480561926445,0.0022376326043337374,5.242198909063459e-7,3.8559285308888997e-5,4.074353485433211e-5,4.950965636337711e-6,1.6253728950823982e-4,2.233759201806485e-5,NA,7.74680505450489e-6,4.881652117428983e-4,NA,4.950965636337712e-7,2.0386329090802342e-7,1.9818424208987133e-4,2.4836373498051767e-4,8.736998181772432e-7,3.6986625636169963e-6,NA,1.0571767799944642e-5,1.464903361810511e-5,NA,4.202787358705265e-4,NA,2.178424879988593e-5,1.6638156870821968e-4,1.0484397818126918e-4,3.4706269110727355e-4,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,5.8246654545149546e-8,NA,NA,NA,NA,NA,NA,NA,2.9123327272574773e-8,NA,NA,NA,2.9123327272574773e-8,NA,NA,NA,2.9123327272574773e-8,3025,NA,60,NA,NA,NA,2,2,NA,NA,8.809806499953869e-5,NA,1.7473996363544864e-6,NA,NA,NA,5.8246654545149546e-8,5.8246654545149546e-8,NA,NA,2611,1314,429,317,4,2,1,7.604100750869274e-5,3.8268052036163254e-5,1.2493907399934577e-5,9.232094745406203e-6,1.1649330909029909e-7,5.8246654545149546e-8,2.9123327272574773e-8
